Value_sc,thunder_signal,thunder_risk_raw,thunder_level,thunder_color,thunder_label_sr,thunder_label_en,thunder_confidence,thunder_spatial_support,thunder_ecmwf,thunder_icon,thunder_gefs,thunder_models_ge10,thunder_models_ge40,thunder_model_spread,thunder_dominant_model,thunder_interpretation_sr,hail_signal,hail_color,hail_level,hail_label_sr,hail_label_en,hail_confidence,hail_ecmwf,hail_icon,hail_gefs,large_hail_signal,large_hail_color,large_hail_level,large_hail_label_sr,large_hail_label_en,large_hail_confidence,very_large_hail_signal,very_large_hail_color,very_large_hail_level,very_large_hail_label_sr,very_large_hail_label_en,very_large_hail_confidence,hail_models_ge10,hail_models_ge40,hail_models_ge50,hail_model_spread,large_hail_models_ge10,large_hail_model_spread,very_large_hail_models_ge10,very_large_hail_model_spread,storm_overview_level,storm_overview_color,storm_overview_label_sr,storm_overview_label_en,storm_dominant_hazard,storm_overview_confidence,forecast_hour,product_family,product_status,probability_status,source_models,data_source_status,institutional_status
ЂАКОВИЦА,19.7,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,HIGH,44.0,15.0,0.0,2,1,44.0,ECMWF,"ECMWF ENS daje najjači signal (44.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima visoku lokalnu prostornu podršku.",8.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,20.0,5.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,0,0,20.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ЈАГОДИНА-ГРАД,8.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,MODERATE,MODERATE,26.0,0.0,0.0,1,0,26.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ЉИГ,16.0,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,HIGH,48.0,0.0,0.0,1,1,48.0,ECMWF,"ECMWF ENS daje najjači signal (48.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima visoku lokalnu prostornu podršku.",8.7,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,MODERATE,26.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,0,0,26.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ЉУБОВИЈА,27.8,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,HIGH,76.0,7.5,0.0,1,1,76.0,ECMWF,"ECMWF ENS daje najjači signal (76.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima visoku lokalnu prostornu podršku.",21.3,YELLOW,1,ПОВИШЕН,ELEVATED,LOW,64.0,0.0,0.0,0.7,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,1,1,64.0,0,2.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER+HAIL,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ЋИЋЕВАЦ,6.0,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,MODERATE,18.0,0.0,0.0,1,0,18.0,ECMWF,Modeli daju relativno dobro usaglašen signal. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
ЋУПРИЈА,6.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,LOW,20.0,0.0,0.0,1,0,20.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
АДА,0.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,2.0,0.0,0.0,0,0,2.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
АЛЕКСАНДРОВАЦ,18.0,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,HIGH,54.0,0.0,0.0,1,1,54.0,ECMWF,"ECMWF ENS daje najjači signal (54.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima visoku lokalnu prostornu podršku.",0.7,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,2.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,2.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
АЛЕКСИНАЦ,4.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,MODERATE,14.0,0.0,0.0,1,0,14.0,ECMWF,Modeli daju relativno dobro usaglašen signal. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
АЛИБУНАР,8.5,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,MODERATE,18.0,7.5,0.0,1,0,18.0,ECMWF,Modeli daju relativno dobro usaglašen signal. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
АПАТИН,0.0,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,0.0,0.0,0.0,0,0,0.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
АРАНЂЕЛОВАЦ,12.0,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,MODERATE,HIGH,36.0,0.0,0.0,1,0,36.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima visoku lokalnu prostornu podršku.,5.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,16.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,0,0,16.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
АРИЉЕ,17.1,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,HIGH,48.0,0.0,3.2,1,1,48.0,ECMWF,"ECMWF ENS daje najjači signal (48.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima visoku lokalnu prostornu podršku.",10.0,YELLOW,1,ПОВИШЕН,ELEVATED,MODERATE,30.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,0,0,30.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER+HAIL,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БАЈИНА БАШТА,27.8,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,HIGH,76.0,7.5,0.0,1,1,76.0,ECMWF,"ECMWF ENS daje najjači signal (76.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima visoku lokalnu prostornu podršku.",26.0,YELLOW,1,ПОВИШЕН,ELEVATED,LOW,78.0,0.0,0.0,0.7,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,1,1,78.0,0,2.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER+HAIL,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БАБУШНИЦА,0.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,2.0,0.0,0.0,0,0,2.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БАТОЧИНА,10.7,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,MODERATE,MODERATE,32.0,0.0,0.0,1,0,32.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima umerenu lokalnu prostornu podršku.,0.7,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,2.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,2.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БАЧ,2.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,8.0,0.0,0.0,0,0,8.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,1.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,4.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,4.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БАЧКА ПАЛАНКА,4.2,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,MODERATE,10.0,2.5,0.0,1,0,10.0,ECMWF,Modeli daju relativno dobro usaglašen signal. Dominantni scenario ima umerenu lokalnu prostornu podršku.,2.7,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,8.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,8.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БАЧКА ТОПОЛА,0.0,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,0.0,0.0,0.0,0,0,0.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БАЧКИ ПЕТРОВАЦ,4.2,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,MODERATE,10.0,2.5,0.0,1,0,10.0,ECMWF,Modeli daju relativno dobro usaglašen signal. Dominantni scenario ima umerenu lokalnu prostornu podršku.,3.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,10.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,0,0,10.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БЕЛА ПАЛАНКА,2.0,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,NONE,6.0,0.0,0.0,0,0,6.0,ECMWF,Modeli daju relativno dobro usaglašen signal.,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,0.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БЕЛА ЦРКВА,7.7,VERY LOW,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,MODERATE,18.0,5.0,0.0,1,0,18.0,ECMWF,Modeli daju relativno dobro usaglašen signal. Dominantni scenario ima umerenu lokalnu prostornu podršku.,2.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,6.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0,0,0,6.0,0,0.0,0,0.0,0,GREEN,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,NONE,HIGH,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БЕОГРАД-БАРАЈЕВО,15.5,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,LOW,HIGH,44.0,2.5,0.0,1,1,44.0,ECMWF,"ECMWF ENS daje najjači signal (44.0%), ali je međumodelska saglasnost niska. Dominantni scenario ima visoku lokalnu prostornu podršku.",6.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,18.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,0,0,18.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,LOW,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
БЕОГРАД-ВОЖДОВАЦ,12.2,LOW,1,YELLOW,ПОВИШЕН,ELEVATED,MODERATE,HIGH,34.0,2.5,0.0,1,0,34.0,ECMWF,Postoji delimična multimodel podrška za prognozirani scenario. Dominantni scenario ima visoku lokalnu prostornu podršku.,3.3,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,10.0,0.0,0.0,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,0.0,GREEN,0,БЕЗ ЗНАЧАЈНОГ РИЗИКА,NO SIGNIFICANT RISK,HIGH,1,0,0,10.0,0,0.0,0,0.0,1,YELLOW,ПОВИШЕН,ELEVATED,THUNDER,MODERATE,36,STORMS,EXPERIMENTAL,DEVELOPMENTAL MULTIMODEL SIGNAL - NOT CALIBRATED PROBABILITY,ECMWF ENS | ICON-EU EPS | GEFS,PUBLIC OPEN-DATA SERVICES,INDEPENDENT PROJECT - NOT AN OFFICIAL RHMZ WARNING PRODUCT
